player,goals,assists,points,plus_minus,point_shares
Wayne Gretzky,894.0,1963.0,2857.0,520.0,251.0
Jaromir Jagr,766.0,1155.0,1921.0,322.0,217.1
Mark Messier,694.0,1193.0,1887.0,211.0,160.4
Ron Francis,549.0,1249.0,1798.0,-18.0,149.3
Marcel Dionne,731.0,1040.0,1771.0,27.0,155.5
Steve Yzerman,692.0,1063.0,1755.0,184.0,166.6
Mario Lemieux,690.0,1033.0,1723.0,114.0,167.9
Joe Sakic,625.0,1016.0,1641.0,30.0,167.8
Raymond Bourque,410.0,1169.0,1579.0,527.0,242.7
Joe Thornton,430.0,1109.0,1539.0,182.0,163.2
Mark Recchi,577.0,956.0,1533.0,0.0,147.5
Paul Coffey,396.0,1135.0,1531.0,298.0,185.7
Teemu Selanne,684.0,773.0,1457.0,95.0,172.3
Bryan Trottier,524.0,901.0,1425.0,449.0,120.2
Doug Gilmour,450.0,964.0,1414.0,129.0,118.6
Alex Ovechkin,780.0,630.0,1410.0,83.0,188.8
Sidney Crosby,517.0,892.0,1409.0,202.0,170.2
Dale Hawerchuk,518.0,891.0,1409.0,-98.0,112.0
Jari Kurri,601.0,797.0,1398.0,304.0,117.4
Luc Robitaille,668.0,726.0,1394.0,71.0,138.6
Brett Hull,741.0,650.0,1391.0,23.0,154.6
Mike Modano,561.0,813.0,1374.0,114.0,144.9
Brendan Shanahan,656.0,698.0,1354.0,151.0,148.0
Guy Lafleur,560.0,793.0,1353.0,446.0,130.5
Mats Sundin,564.0,785.0,1349.0,73.0,144.4
Denis Savard,473.0,865.0,1338.0,103.0,105.2
Dave Andreychuk,640.0,698.0,1338.0,32.0,124.4
Mike Gartner,708.0,627.0,1335.0,68.0,121.8
Pierre Turgeon,515.0,812.0,1327.0,139.0,134.3
Gilbert Perreault,512.0,814.0,1326.0,41.0,113.3
Jarome Iginla,625.0,675.0,1300.0,30.0,157.9
Al MacInnis,340.0,934.0,1274.0,371.0,195.0
Phil Housley,338.0,894.0,1232.0,-53.0,170.7
Larry Murphy,288.0,929.0,1217.0,197.0,176.8
Jeremy Roenick,513.0,703.0,1216.0,153.0,125.8
Bobby Clarke,358.0,852.0,1210.0,507.0,106.1
Bernie Nicholls,475.0,734.0,1209.0,-39.0,96.8
Vincent Damphousse,432.0,773.0,1205.0,7.0,105.4
Patrick Marleau,566.0,631.0,1197.0,-27.0,133.8
Rod Brind'Amour,452.0,732.0,1184.0,-39.0,105.7
Patrick Kane,430.0,750.0,1180.0,43.0,133.4
Sergei Fedorov,483.0,696.0,1179.0,261.0,125.6
Daniel Alfredsson,444.0,713.0,1157.0,155.0,133.6
Michel Goulet,548.0,605.0,1153.0,99.0,96.9
Evgeni Malkin,444.0,702.0,1146.0,59.0,137.0
Nicklas Lidstrom,264.0,878.0,1142.0,450.0,211.8
Marian Hossa,525.0,609.0,1134.0,245.0,144.2
Bernie Federko,369.0,761.0,1130.0,-131.0,79.8
Joe Nieuwendyk,564.0,562.0,1126.0,155.0,120.0
Mike Bossy,573.0,553.0,1126.0,380.0,110.9
Darryl Sittler,484.0,637.0,1121.0,57.0,95.9
